A 马克思主义、列宁主义、毛泽东思想、邓小平理论
DF419.9 其他经济法令
DF43 财政法
DF431 预算、决算法
DF432 税收法
DF432.1 流转税法
DF432.2 所得税法
DF432.3 财产税法
DF432.9 其他税法
{DF433} 金融、银行法
{DF434} 保险法
{DF435} 货币管理法
DF436 财务管理与会计法
DF437 审计法
DF438 金融法
DF438.1 银行法
DF438.2 信托、信贷法
DF438.4 保险法
DF438.5 货币管理法令
DF438.6 外汇管理法令
DF438.7 证券管理法令
DF45 土地法
DF451 土地改革法
DF452 农业土地法
DF453 国有土地管理及使用法
DF454 城市与城郊用地法令
DF455 建筑用地法令
DF456 特殊用途土地法
DF457 森林用地法令
DF458 水利用地法令
DF459 国家建设征用土地法
DF46 自然资源与环境保护法
[DF461] 土地法
DF462 矿产法
DF463 森林法
DF464 草原法
DF465 水产法
DF466 水法
DF467 能源法
DF468 环境保护法
DF469 其他
DF47 劳动法
DF471 劳动报酬法
DF472 劳动合同法
DF473 劳动纪律、劳动奖励法令
DF474 劳动保护法令
DF475 劳动保险法令
DF476 工会与职工民主管理法令
DF477 职工培训法令
[DF478] 社会福利法令
DF479.1 劳动争议处理法令
DF479.2 劳动监督与检查法令
DF479.9 其他
DF5 民法
DF51 总则
DF52 分则
DF521 物权
DF522 债权
DF523 知识产权
DF523.1 著作权法
DF523.2 专利法
DF523.3 商标法
DF523.9 其他
DF524 继承法
[DF525] 合同法
DF529 民事其他法权
DF55 婚姻法
DF551 婚姻制度、结婚、离婚
DF552 家庭关系
DF553 计划生育法
DF554 少数民族婚姻问题
DF555 军婚
DF556 涉外婚姻问题
DF558 违反婚姻法的制裁
DF59 商法（总论）
DF6 刑法
DF61 总则
DF611 犯罪
DF612 刑罚的种类
DF613 刑罚的运用
DF62 分则
DF621 侵害国家安全罪
DF622 危害公共安全罪
DF623 破坏经济秩序罪
DF624 侵犯公民人身权利、民主权利罪
DF625 侵犯财产罪
DF626 妨害社会管理秩序罪
DF635 危害国防利益罪
DF636 贪污贿赂罪
DF637 渎职罪
[DF638] 军人违反职责罪
DF639 其他
DF7 诉讼法
DF71 诉讼制度
{DF711} 基本原则与制度
DF712 当事人
DF713 证据制度
DF714 调解制度
DF715 回避与辩护制度
{DF716} 审判
DF718 诉讼程序
DF718.1 起诉
DF718.2 审判程序
DF718.3 执行程序
DF718.5 特别程序
DF72 民事诉讼法
DF73 刑事诉讼法
DF74 行政诉讼法
DF75 仲裁法
{DF79} 司法鉴定
DF792 犯罪学
DF792.1 犯罪原因
DF792.2 犯罪心理学
DF792.3 犯罪社会学
DF792.6 犯罪预防与治理
DF792.9 其他
DF793 刑事侦查学（犯罪对策学、犯罪侦查学）
DF793.1 犯罪同一认定
DF793.2 侦查技术与方法
{DF793.4} 痕迹学
DF793.5 现场勘查
DF793.7 预审学
DF794 司法鉴定学
DF794.1 痕迹学
DF794.2 文书检验
DF794.3 司法化学检验
DF794.5 司法会计学
DF795 法医学
DF795.1 法医基础科学
DF795.2 法医物证检验学
DF795.3 司法精神医学
DF795.4 法医鉴定学
DF795.5 妇婴法医学
DF795.6 法医人类学
DF8 司法制度
DF81 司法行政
DF812 司法行政机构
DF813 司法行政工作
DF814 司法统计
DF815 司法教育
DF817 司法人员
DF82 法院
DF821 最高法院
DF822 地方法院
DF823 专门法院
DF83 检察院
DF831 最高检察院
DF832 地方检察院
DF833 专门检察院
{DF834} 司法监督
DF84 司法监督
DF85 律师制度
DF86 公证制度
DF87 监狱制度与劳动改造制度
DF88 劳动教养制度
DF9 国际法
DF90 国际法理论
DF92 国家
DF93 领土
DF931 领土问题
DF932 国界和边境
DF933 领水
DF934 领空、航空法
DF935 海洋法
DF937 外交领事法
DF938 条约法
DF939 国际组织法
DF94 平时国际法
DF95 战时国际法（战争法）
DF959 中立
DF96 国际经济法
DF961 国际商法（国际贸易法）
DF961.9 海商法
DF962 国际财政金融法
DF963 国际税法
DF964 国际投资法
DF965 国际技术转让法
{DF966} 准据法
DF969 国际环境保护法
DF97 国际私法
DF971 国际民法
DF973 国际民事诉讼程序法
DF974 国际商事仲裁与国际海事仲裁法
DF979 国际刑法
DF98 国籍法
DF981 外国人的法律地位
DF982 人权的国际保护
DF983 移民法
DF988 各国国籍法
DF991 外层空间法（宇宙法）
DF992 核法
E 军事
E0 军事理论
E0-02 军事哲学
E0-03 军事科学方法论
E0-05 军事学与其他科学的关系
E0-051 军事心理学
E0-052 军事社会学
E0-053 军事与政治
E0-054 国防经济学
E0-055 军事与文化
E0-059 其他
E07 军事管理学
E071 军制学
E072 军队指挥学
E073 军事教育学
E075 后勤学
E08 各军种、兵种建设理论
E09 军事学史、军事思想史
E1 世界军事
E10 军事政策
E11 军事建设与战备
E112 军事演习
E113 军事基地
E115 边防、海防、空防
E117 军事装备的输入与输出
E118 战备
E12 军事制度
E121 军事行政
E122 军事编制
E123 干部制度、人事管理
E125 兵役制度、兵役法
E126 军法、军纪
E127 军队标识
E13 军事教育与训练
E139 军事科研组织与活动
{E14} 军事后方勤务
E141 司令部工作
E141.1 作战指挥
E141.2 参谋工作
E141.6 军事情报组织与活动
E142 政治工作
E144 后方勤务
E15 各种武装力量（各军、兵种）
E150 合成军
E151 陆军
E153 海军
E154 空军
E155 战略导弹部队
E156 特种部队
E157 公安部队、武警部队
E158 民兵
E159 其他
E16 军事组织与活动
E161 军事组织
E162 军事会议、会谈
E163 军事条约、协定
E19 军事史
E2 中国军事
E20 建军理论
E201 方针、政策及其阐述
E21 司令部工作
E211 作战指挥
E212 参谋工作
[E214] 各军、兵种司令部的工作
[E215] 军事演习
E216 军事情报组织与活动
E22 政治工作
E220 政治工作条例
E221 思想教育工作
E221.3 教材、学习文选
E222 宣传工作
E223 文化工作
E224 部队基层建设工作
E225 群众工作
E227 保卫工作
E229 对敌军政治工作
E229.9 俘虏管理
E23 后方勤务
E231 后勤训练
E232 军队财务
E232.1 国防费与军事预算
E232.5 会计
E232.6 审计
E233 军需勤务与国防物资储备
E234 军事运输勤务
E235 兵站勤务
E236 军马勤务
E237 军械勤务
[E238] 卫生勤务
[E239] 各军、兵种后方勤务
[E239.0] 合成军
[E239.1] 陆军
[E239.3] 海军
[E239.4] 空军
[E239.5] 战略导弹部队
[E239.9] 其他军队
E24 生产建设工作
E25 国防建设与战备
E251 军事教育、军事训练
E251.1 教育和训练的方法、教材
E251.2 军事作业、军事演习
E251.3 军事院校、院校训练
[E251.4] 后勤训练
E251.5 野营训练
E251.6 共同科目训练
E251.7 军地两用人才训练
E251.8 战斗专业训练
E252 军事科研组织与活动
E253 军事基地
E254 边防
E255 海防
E256 空防
E257 军事装备输入与输出
E258 战备
E26 军事制度
E261 军事行政
E262 军事编制
E263 干部制度、人事管理
E265 兵役制度、兵役法
E266 军法、军纪
E267 军队标识
E27 各种武装力量（各军、兵种）
E270 合成军
E270.1 方面军、集团军
E270.2 军
E270.3 师、旅
E270.4 团
E270.5 营
E270.6 连
E270.7 排
E270.8 班
E270.9 单兵
E271 陆军
E271.1 步兵
E271.2 骑兵
E271.3 坦克兵、装甲兵
E271.4 炮兵
E271.5 防化学兵
E271.6 工程兵
E271.7 通信兵
E271.8 铁道兵
E271.9 其他兵种
E273 海军
E273.1 水面舰艇部队
E273.2 潜艇部队
E273.3 海军航空兵
E273.4 岸防兵
E273.5 海军陆战队
E274 空军
E274.1 航空兵
E274.2 空降兵（伞兵）
E274.3 高射炮兵
E274.4 雷达兵
E274.5 探照灯部队
E274.6 防空导弹部队
E274.8 地勤部队
E275 战略导弹部队
E276 特种部队
E277 公安部队、武警部队
E279 预备役部队
E28 民兵
E280 体制
E282 组织管理
E283 政治工作
E284 军事教育、训练
E285 战术
E286 军民联防
E287 各地方民兵组织和训练
E289 地方军事
E289.58 台湾
E29 军事史（战史、建军史）
E291 古代军事史
E292/294.9 古代各时期军事史（1840年以前）
E295 近代军事史（1840~1949年）
E295.2 清后期军事史（1840~1911年）
E296 民国军事史（1911~1949年）
E296.0 军事政策
E296.1 国防军备
E296.2 军事制度
E296.3 军事教育、训练
E296.4 司令部工作、政治工作、后方勤务
E296.5 各军、兵种
E296.51 陆军
E296.53 海军
E296.54 空军
E296.59 其他军队
E296.6 预备役部队
E296.7 地方武装组织
E296.8 军事监察、军法
E296.9 各时期军事史（战史）
E296.90 民国初期（1911~1924年）
E296.91 北伐战争及其以后时期（1924~1937年）
E296.93 抗日战争时期（1937~1945年）
E296.94 抗日战争以后时期（1945~1949年）
E297 中国人民解放军军事史
E297.0 八一南昌起义
E297.1 北伐战争时期（1924~1927年）
E297.2 土地革命战争时期（1927~1937年）
E297.3 抗日战争时期（1937~1945年）
E297.4 解放战争时期（1945~1949年）
E297.5 社会主义革命和社会主义建设时期（1949年以后）
E3/7 各国军事
E8 战略学、战役学、战术学
E81 战略学
E811 战争初期问题
E812 速决战与持久战
E813 战略进攻与防御
E814 陆军战略
E815 制海权与海军战略
E816 制空权与空军战略
E817 核威慑战略
E818 全球战略
E82 战役学
E821 集团军战役、方面军战役
E822 登陆与抗登陆战役
E823 海军战役
E824 空军战役
E827 合同战役
E828 核反击战役
E83 战术学
E831 游击战
E832 运动战
E833 防御战
E834 进攻战
E835 各种条件下作战
E835.1 夜间作战
E835.2 雨季作战
E835.3 旱季作战
E835.4 高温环境下作战
E835.5 低温环境下作战
E835.6 布雷区作战
E835.7 污染区作战
E835.8 高科技条件下作战
E835.9 其他
E836 各种地形下作战
E836.1 平原作战
E836.2 高原作战、山地作战
E836.3 沙漠作战
E836.4 丛林作战
E836.5 水网区作战
E836.7 城市作战
E836.9 其他
E837 合同战术、协同战术
E838 闪击战、快速反应作战
{E839} 其他战术
E839.1 抗登陆战
E839.2 反空降战
E839.9 其他
E841 陆军战术
E843 海军战术
E844 空军战术
E845 战略导弹部队战术
E846 特种部队战术
E847 公安部队、武警部队战术
E86 非常规战争
E861 核战争与反核战争
E862 化学战争与反化学战争
E863 生物战争与反生物战争
E864 星球大战
E869 其他
E87 军事情报与军事侦察
E89 古代兵法、战法
E892 中国
E893/897 各国
E9 军事技术
E91 军事技术基础科学
E911 军事数学
E912 军事物理学
E913 军事化学
E914 军事天文学
E915 军事气象学
E916 军事生物学
E917 军事系统工程学
E919 其他学科在军事上的应用
E92 武器、军用器材
E920 武器技术一般性问题
E920.2 射击学
E920.8 武器效应
E922 步兵武器、枪械及其他近战武器
E922.1 枪械
E922.11 手枪、转轮枪
E922.12 步枪、马枪
E922.13 冲锋枪
E922.14 轻、重机枪与两用机枪
E922.15 高射机枪、大口径机枪
E922.16 坦克机枪、舰用机枪、航空机枪
E922.17 特种用途与特殊性能枪
E922.2 反坦克火箭筒
E922.3 榴弹发射器、枪榴弹发射器
E922.8 冷兵器
E923 装甲兵武器、各种战车
E923.1 坦克、装甲车
E923.11 轻型、超轻型坦克
E923.12 中型坦克
E923.13 重型坦克
E923.16 水陆两用坦克
{E923.17} 飞行坦克
E923.18 特种坦克
E923.191 步兵战车
E923.192 装甲输送车
E923.2 自行火炮
E923.3 其他各种战车和军用车辆
E923.32 导弹发射车
E923.33 探雷车、扫雷车、布雷车
E923.34 登陆车
E923.35 侦察车
E923.36 指挥车
E923.37 救援车
E923.38 野战修理工程车
E923.39 其他
E924 炮兵武器
E924.1 迫击炮
E924.2 无座力炮
E924.3 榴弹炮
E924.4 加农炮
E924.5 高射炮、高射机关炮
E924.6 超级炮
E924.7 反坦克炮
E924.8 坦克炮
E924.91 舰炮
E924.92 航空炮
E924.93 火箭炮
E924.94 海岸炮
E924.95 铁道炮
E924.96 原子炮
E924.99 其他
E925 海军武器
E925.1 海军枪炮
E925.2 水中武器
E925.21 水雷
E925.23 鱼雷
E925.25 深水炸弹
E925.4 反潜武器
E925.6 各种舰艇
E925.61 战列舰（主力舰）
E925.62 巡洋舰
E925.63 炮舰（艇）
E925.64 驱逐舰（雷击舰、驱击舰）
E925.65 鱼雷快艇
E925.66 潜水艇
E925.67 特种舰艇
E925.671 航空母舰
E925.672 布雷舰、扫雷舰（艇）
E925.673 布网舰、猎潜舰（艇）
E925.674 护卫舰（护航舰）
E925.675 登陆舰（艇）
E925.68 水陆两用船
E926 空军武器
E926.1 射击武器
E926.2 轰炸武器
E926.3 各种军用飞机
E926.31 歼击机（战斗机）
E926.32 截击机
E926.33 强击机（攻击机）
E926.34 轰炸机
E926.35 歼击轰炸机
E926.36 侦察机
E926.37 预警机
E926.38 反潜机
E926.391 电子干扰飞机
E926.392 舰载飞机
E926.393 军用运输机
E926.394 空中加油机
E926.396 军用直升飞机
E926.399 其他军用飞机
E926.4 防空武器
E927 火箭、导弹
E928 原子武器及其防御
E928.9 光学武器及其防御
E929 化学武器及其防御
E929.1 军用毒剂
E929.2 军用发烟剂
E929.3 军用喷火、纵火剂
E929.5 其他化学武器
E929.6 军用化学剂施放器材
E929.8 军用化学防御剂、防御器材
E931 生物武器、细菌武器及其防御
E932 弹药
E932.1 轻武器弹药
E932.2 炮弹
E932.3 航空炸弹
E932.4 爆破器材、爆破技术
E932.6 烟火器材
E933 军用侦察器材、指挥仪器及设备
E933.1 观察器材
E933.2 瞄准器材
E933.3 指挥仪器和设备
E933.4 军用光学仪器
E933.41 红外线仪器、微光仪器
E933.43 激光仪器
E933.6 火控雷达
E939 其他军用器材
E95 军事工程
E951 工程技术一般作业
E951.1 阵地构筑及设备
E951.2 障碍物的设置与排除
E951.3 军事交通
E951.4 伪装
E951.5 野战给水
E952 陆军工程
E953 海军工程
E954 空军工程
E955 防空工程
E956 战略导弹军事工程
E96 军事通信
E961 军用有线电通信
E962 军用无线电通信
E963 光波通信、激光通信
E964 运动通信（传递通信）
E965 简易通信
E966 军邮
E967 各军、兵种通信
E967.0 合成军通信
E967.1 陆军通信
E967.3 海军通信
E967.4 空军通信
E967.5 战略导弹部队通信
[E968] 通信电源
E99 军事地形学、军事地理学
E991 军事地形学
E992 军事测绘学
E992.1 军事测量学
E992.2 军事制图学
E993 军事地理学
E993.1 世界军事地理
E993.2 中国军事地理
E993.3/.7 各国军事地理
E994 军事地图
E994.1/.7 陆军作战图
E994.8 军用海图
E994.9 军用航空地图
F 经济
F0 经济学
F0-0 马克思主义政治经济学（总论）
F01 经济学基本问题
F011 经济学的对象和方法
F012 经济规律
F014 经济范畴
F014.1 生产、生产力、生产关系、生产方式
F014.2 劳动、劳动生产率、劳动分工
F014.3 商品生产与交换
F014.31 价格理论
F014.32 需求理论、供给理论
F014.35 经济效益
F014.36 经济机制
F014.39 资本和剩余价值
F014.4 国民收入与分配
F014.5 消费与积累
F014.6 社会再生产
F014.9 其他经济范畴
F015 宏观经济学
F016 微观经济学
F019 其他经济理论
F019.1 均衡理论
F019.2 静态经济学、动态经济学
F019.3 规范经济学、实证经济学
F019.4 合理预期
{F019.5} 公共选择
F019.6 经济政策理论
F02 前资本主义社会生产方式
F021 原始社会
F022 奴隶社会
F023 封建社会
F03 资本主义社会生产方式
F030 生产关系、所有制
F031 商品生产与交换
F031.1 商品、商品生产
[F031.2] 货币
F031.3 价值、价值规律
F031.4 价格
F031.5 经济效益
F031.6 经济机制
F032 资本和剩余价值
F032.1 资本
F032.2 剩余价值及其分配
F033 雇佣劳动和工资
F034 资本积累和无产阶级贫困化
F035 社会资本再生产
F035.1 社会生产、再生产
F035.2 部门间的关系
F035.3 社会总产品、国民生产总产值
F035.4 计划和市场
F036 国民收入和分配
F036.1 国民财富
F036.3 消费与积累
F036.5 生活方式
F037 经济循环
F037.1 经济周期与经济波动
F037.2 经济停滞、衰退与复苏
F037.3 景气预测
F038 垄断资本主义-帝国主义
F038.1 金融资本和金融寡头
F038.2 垄断与竞争
F038.3 资本输出
F038.4 国家垄断资本
F038.5 经济军事化
F038.6 帝国主义对殖民地的经济掠夺
F038.8 “后工业社会”论
F039 资本主义经济危机
F04 社会主义社会生产方式
F041 从资本主义到社会主义的过渡
F041.1 生产资料社会主义国有化
F041.2 国民经济社会主义改造
[F041.3] 社会主义工业化
F041.8 由前资本主义生产方式向社会主义过渡问题
F042 社会主义社会生产力与生产关系
F042.1 社会主义物质技术基础
F042.2 生产力、生产关系、所有制
F043 社会主义经济规律
F044 社会主义劳动
F045 商品生产与交换
F045.1 商品、商品生产
[F045.2] 货币
F045.3 价值、价格
F045.31 价值、价值规律
F045.32 价格
F045.33 成本利润
F045.4 经济效益
F045.5 社会主义计划与市场
F045.51 国家的经济职能
F045.6 经济机制
F045.9 资本和剩余价值
F046 社会主义分配制度
F046.1 按劳分配原则
F046.2 物质鼓励
F046.3 分配方式
F046.31 全民所有制经济
F046.32 集体所有制经济
F046.33 私有制经济
[F046.4] 工资制度
F047 国民收入与分配
F047.1 国民财富
F047.2 社会总产品和国民收入
F047.3 积累和消费
F047.5 生活方式
F048 社会主义再生产
F048.1 简单再生产、扩大再生产
F048.2 部门间的关系
F049 经济循环
F05 共产主义社会生产方式
F06 经济学分支科学
[F061.1] 生产力经济学
F061.2 增长经济学
F061.3 发展经济学
F061.4 福利经济学
F061.5 区域经济学
F061.6 国土经济学
F062.1 资源经济学
F062.2 生态经济学
F062.3 科学经济学、知识经济学
F062.4 技术经济学
F062.5 信息经济学
F062.6 公共经济学
F062.9 产业经济学
F063.1 非生产领域经济学
[F063.2] 消费经济学
[F063.3] 国防经济学
F063.4 家庭经济学
F063.6 民族经济学
[F064.1] 计量经济学
F064.2 比较经济学
F065.2 短缺经济学
{F069} 其他
F069.9 其他
F08 各科经济学
F09 经济思想史
F091 世界
F091.1 古代经济思想（公元前约3500~公元476年）
F091.2 中世纪经济思想（476~1640年）
F091.3 近现代经济思想（1640年~）
F091.31 重商主义
F091.32 重农主义
F091.33 古典经济学
F091.34 庸俗经济学
F091.341 马尔萨斯主义
F091.342 历史学派、新历史学派
F091.343 奥地利学派（心理学派）
F091.344 社会学派
F091.345 数理经济学派（洛桑学派）
F091.346 北欧学派（瑞典学派、斯德哥尔摩学派）
F091.347 剑桥学派（新古典学派）
F091.348 凯恩斯学派、凯恩斯主义
F091.348.1 新古典综合派、后凯恩斯主义
F091.348.2 新剑桥学派
F091.349 制度学派、新制度学派（现代制度学派）
F091.351 合作主义
F091.352 新自由主义
F091.352.1 伦敦学派
F091.352.2 弗赖堡学派
F091.352.3 合理预期学派（理性预期学派）
F091.352.4 供给学派（弹性学派）
F091.353 货币主义
F091.354 熊彼得（Schumpeter,J.A.）经济思想
F091.355 罗斯托（Rostow,W.W.）经济思想
F091.4 小资产阶级经济学派
F091.5 空想社会主义经济思想
F091.9 马克思列宁主义经济思想
F091.91 马克思、恩格斯经济思想
F091.92 列宁、斯大林经济思想
F091.93 毛泽东、邓小平经济思想
{F091.94} 苏联经济思想
{F091.95} 东欧经济思想
F091.96 西方马克思主义经济思想、右翼社会主义经济思想
F092 中国经济思想
F092.2 古代
F092.6 近代
F092.7 现代
F093/097 各国经济思想
F1 世界各国经济概况、经济史、经济地理
F11 世界经济、国际经济关系
F11-0 世界经济学、国际经济学
F11-6 世界经济、国际经济关系参考工具书
F11-66 世界经济统计资料
F110 政策、规划
F112 世界经济概况
F112.1 发展中国家经济
F112.2 发达国家经济
F112.5 社会主义国家经济
F112.7 资本主义国家经济
F113 世界经济问题
F113.1 世界经济结构与体制
F113.2 国际经济技术合作
F113.3 世界资源问题
F113.4 世界经济发展水平、趋势及预测
F113.7 世界经济波动与经济危机
F113.8 国民收入与支出、国民财富
F113.9 人民生活状况
F114 国际经济关系
F114.1 国际分工
F114.3 国际经济新秩序
F114.4 国际经济合作
F114.41 国际经济一体化
F114.42 社会主义国家间的经济关系
F114.43 发展中国家间的经济关系
F114.44 发达国家与发展中国家间的经济关系
F114.45 东西方间的经济关系
F114.46 区域间经济关系
F114.49 其他
F115 国际经济矛盾和斗争
F116 国际经济组织与会议
[F116.1] 联合国经济机构
F116.2 发展中国家
F116.5 社会主义国家
F116.7 发达国家
F117 国际经济条约、协定
F119 世界经济史
F119.9 世界经济地理
F12 中国经济
F120 方针政策及其阐述
F120.2 中国社会主义经济基本理论问题
F120.3 经济发展道路、模式
F120.4 经济发展战略
F121 社会经济结构与体制
F121.1 过渡时期经济成分及其改造
F121.2 社会主义所有制形式
F121.21 全民所有制
F121.22 集体所有制
F121.23 个体经济、私营经济
F121.24 合营经济
F121.25 中外合资经营
F121.26 股份制、租赁制
F121.29 其他经济成分
F121.3 产业结构
F123 国民经济计划及其管理
F123.1 计划管理
F123.11 计划工作
F123.13 计划调节
F123.14 中央与地方关系
F123.15 国家与企业关系
F123.16 宏观经济管理
{F123.17} 国有资产管理与评估
F123.2 远景规划
F123.3 国民经济发展综合计划
F123.31 第一个五年计划
F123.32 第二个五年计划
F123.33 第三个五年计划
F123.34 第四个五年计划
F123.35 第五个五年计划
F123.36 第六个五年计划
F123.37 第七个五年计划
F123.38 第八个五年计划
F123.391 第九个五年计划
F123.392 第十个五年计划
F123.393 第十一个五年计划
F123.5 经济发展年度计划
F123.6 基本建设计划与管理
F123.7 国有资产管理与评估
F123.8 专题规划
F123.9 市场机制与市场调节
F124 经济建设和发展
F124.1 国民经济现代化
F124.3 技术发展与革新
F124.4 专业化与协作
F124.5 资源开发与利用
F124.6 提高经济效益
F124.7 国民收入、国民财富
F124.8 经济波动
F124.9 其他
F125 对外经济关系
F125.1 对外经济政策
F125.2 组织与活动
F125.3 经济条约、协定
F125.4 对外经济合作
F125.5 对各国经济关系
F126 人民生活状况
F126.1 人民消费水平、结构
F126.2 人民收入与家计调查
F127 地方经济
F127.8 少数民族经济
F127.9 特区经济、经济技术开发区经济
F129 中国经济史
F129.9 中国经济地理
F13/17 各国经济
F2 经济计划与管理
F20 国民经济管理
F201 经济预测
F202 经济决策
F203 生产行业管理
F203.9 工商行政管理
F204 科学技术管理
F205 资源、环境和生态管理
F206 能源管理
F207 生产布局和区域经济管理
F208 经济信息管理
F21 经济计划
F210 国民经济计划原理
F211 国民经济计划体系
F213 各种专门计划
F213.1 综合生产计划
[F213.2] 基本建设计划
F213.3 价格成本与流通费用计划
F213.4 国民收入计划
F213.5 部门经济计划
F213.9 其他
F22 经济计算、经济数学方法
F221 经济核算
F222 经济统计学
F222.1 经济统计方法
F222.3 专门经济统计
F222.31 部门经济统计
F222.32 劳动统计
F222.33 国民经济计算体系
F222.34 人民生活统计
F222.39 其他专门经济统计
F222.5 国际经济统计
F222.7 经济统计组织与工作
F223 投入产出分析
F224 经济数学方法
F224-3 经济研究方法、工作方法
F224-39 电子计算机的应用
F224.0 数量经济学
F224.1 经济控制论、系统论、信息论
F224.11 经济控制论
F224.12 经济系统分析
F224.13 经济信息理论
F224.3 运筹学在经济中的应用
F224.31 线性规划
F224.32 博弈论
F224.33 网络理论、统筹法
F224.34 排队论
F224.5 费用效益分析（成本-效益分析）
F224.7 概率论与数理统计在经济中的应用
F224.9 经济数学方法的应用
F23 会计
F230 会计学
F230.9 会计数学
F231 会计簿记方法
F231.1 资产负债表
F231.2 复式记账和账户
F231.3 会计凭证和财产清查
F231.4 帐簿和记帐技术
F231.5 会计报表
F231.6 会计检查和监督
F232 会计设备
F233 会计工作组织与制度
F234 各种会计和簿记
F234.1 社会会计
F234.2 成本会计
F234.3 管理会计
F234.4 财务会计
F234.5 国际会计
F235 各部门会计和簿记
[F235.1] 国家机关会计（政府会计）、预算会计
[F235.19] 企业会计
[F235.2] 金融、保险业会计
[F235.3] 基本建设、物资、施工企业会计
[F235.4] 农业会计
[F235.5] 工业会计
[F235.6] 交通运输业会计
[F235.69] 旅游业会计
[F235.7] 邮电业会计
[F235.8] 商业会计、外贸会计
[F235.91] 房地产开发企业会计
[F235.92] 文化、电影、新闻出版企业会计
[F235.99] 其他
F239 审计
F239.0 审计学
F239.1 审计方法与技术
F239.2 审计工作组织与制度
F239.21 世界
F239.22 中国
F239.220 政策
F239.221 制度
F239.222 组织机构
F239.227 地方审计业务
F239.23/.27 各国
F239.4 各类审计
F239.41 财政财务审计、财经法纪审计
F239.42 经济效益审计
F239.43 民间审计
F239.44 国家审计
F239.45 内部审计
F239.47 经济责任审计
F239.6 专业审计
F239.61 农业审计
F239.62 工业、交通、邮电、旅游审计
F239.63 基本建设审计、物资审计、水利审计
F239.64 商业、外贸审计
F239.65 财政、金融审计
F239.66 行政事业审计
F239.67 外资审计
F24 劳动经济
F240 劳动经济理论
F241 劳动力
F241.1 劳动力计划
F241.2 劳动力市场
F241.21 劳动力需求
F241.23 劳动力市场类型
F241.3 劳动制度
F241.31 劳动体制
F241.32 用工制度
[F241.33] 培训制度
F241.34 退休制度
F241.4 劳动就业与失业
F242 劳动生产率
F243 劳动组织和管理
F243.1 劳动组织
F243.2 劳动分工与协作
F243.3 劳动定额
F243.4 劳动竞赛
F243.5 劳动纪律、生产责任制
F244 劳动工资、劳动报酬
F244.1 工资形式
F244.2 工资制度
F244.3 奖励制度
F245 劳动工时
F246 劳动关系
[F247] 劳动保护
F249 世界各国劳动经济概况
F249.1 世界
F249.11 发展中国家
F249.12 发达国家
F249.15 社会主义国家
F249.17 资本主义国家
F249.19 劳动经济史
F249.2 中国
F249.20 政策
F249.21 劳动力
F249.22 劳动生产率
F249.23 劳动组织
F249.24 劳动工资
F249.25 劳动工时
F249.26 劳动关系
F249.27 地方劳动经济
F249.29 劳动经济史
F249.3/.7 各国
F25 物资经济
F250 物资经济理论
F251 物资管理
F251.1 物资管理体制
F251.2 物资计划
F251.3 物资统计
F252 物资流通
F252.1 物资流通体制
F252.2 物资市场
F252.21 物资供应与需求
F252.22 生产资料贸易组织
F252.23 城乡交流
F252.24 物资流通专业化
F252.3 物资流通费用、资金和利润
F252.4 物资价格
F252.5 物资流通经济效益
F252.8 各类物资流通
F252.81 原材料流通
F252.82 设备流通
F253 物资企业经营与管理
F253.1 计划管理
F253.2 采购管理
F253.3 质量管理
F253.4 库存、储备及调运管理
F253.5 定额消耗与节约
F253.7 财务管理
F253.9 物资经济现代化管理
F259 世界各国物资经济
F259.1 世界
F259.2 中国
F259.21 物资计划与管理体制
F259.22 物资流通
F259.23 物资企业经营与管理
F259.27 地方物资经济
F259.29 物资经济史
F259.3/.7 各国
F27 企业经济
F270 企业经济理论和方法
F270-05 企业经济与其他科学的关系
F270.3 企业经济效益
[F270.5] 企业管理的数学方法
F270.7 企业现代化管理
F271 企业体制
F272 企业计划与经营决策
F272.1 预测
F272.2 计划
F272.3 经营决策
F272.5 经济评价
F272.9 企业行政管理
F272.91 企业领导
F272.92 人事管理
F272.93 民主管理
F273 企业生产管理
F273.1 企业技术管理
F273.2 产品管理
F273.4 企业资产管理
F273.7 企业（行业）间联系
F274 企业供销管理
F275 企业财务管理
F275.1 企业资金管理
F275.2 企业会计核算
F275.3 企业成本管理
F275.4 利润与收入分配
F275.5 经济活动分析
F276 各种企业经济
F276.1 国有企业经济
F276.2 合作经济、合作社
F276.3 中小型企业、乡镇企业
F276.4 联合企业经济
F276.41 部门间经济综合体
F276.42 科研、生产联合企业
F276.43 合资经营企业
F276.44 高新技术企业
F276.5 私营企业
F276.6 公司
F276.7 跨国公司
F276.8 垄断组织
F279 世界各国企业经济
F279.1 世界
F279.11 发展中国家
F279.12 发达国家
F279.15 社会主义国家
F279.17 资本主义国家
F279.2 中国
F279.21 企业组织与体制
F279.23 企业管理
F279.24 各种企业经济
F279.26 个别企业经济
F279.27 地方企业经济
F279.29 企业史
F279.3/.7 各国
F28 基本建设经济
F280 基本建设理论与方法
F281 基本建设计划与管理
F282 基本建设研究与决策
F283 基本建设投资与经济效益
F284 基本建设组织与管理
F285 基本建设财务（建设单位财务）
F287 各部门基本建设经济
[F287.1] 农林建设
[F287.2] 工业建设
[F287.3] 交通运输建设
[F287.4] 商业、服务业建设
[F287.5] 文教事业建设
[F287.6] 科研事业建设
[F287.7] 公用事业建设
[F287.8] 住宅建设
F29 城市与市政经济
F290 城市经济理论
